mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
105,62.41,49.08,58.92,0.51,0.8,0.42
104,52.52,6.61,84.92,0.08,0.69,0.54
105,60.79,46.71,59.31,0.53,0.86,0.48
104,61.99,359.04,90.51,0.01,1.05,0.59
105,61.01,53.38,53.3,0.63,0.82,0.49
105,52.16,53.14,43.99,0.74,0.67,0.56
105,44.22,58.78,30.54,0.82,0.42,0.46
105,51.8,68.96,26.05,0.74,0.3,0.5
105,47.1,70.74,20.61,0.79,0.31,0.31
105,50.73,77.74,14.89,0.89,0.25,0.21
105,36.76,76.58,10.1,0.91,0.18,0.23
105,40.75,76.24,11.91,0.99,0.22,0.26
105,42.53,77.98,11.05,1.02,0.22,0.23
105,37.7,79.38,8.25,0.89,0.15,0.17
105,54.96,76.62,18.74,0.75,0.26,0.2
105,52.56,61.39,35.47,0.72,0.5,0.43
105,71.59,70.68,46.49,0.74,0.81,0.26
105,72.36,63.85,57.07,0.65,1.0,0.34
105,72.84,63.91,57.77,0.65,1.01,0.32
105,70.21,57.62,60.43,0.56,0.96,0.38
105,69.18,55.27,61.26,0.48,0.91,0.34
104,52.91,6.94,84.75,0.09,0.76,0.58
105,73.87,59.5,63.85,0.44,0.85,0.27
104,47.82,10.28,80.66,0.12,0.6,0.59
105,72.18,37.17,76.3,0.23,0.85,0.29
104,56.05,9.63,83.48,0.09,0.7,0.49
105,73.01,34.94,77.95,0.22,0.87,0.25
104,55.56,8.27,84.31,0.09,0.69,0.49
105,69.39,22.72,81.05,0.17,0.82,0.31
104,60.64,11.6,83.42,0.11,0.81,0.46
105,72.82,42.18,74.35,0.22,0.68,0.27
104,59.73,11.46,83.25,0.12,0.86,0.49
105,62.72,21.62,78.45,0.18,0.82,0.44
104,59.81,10.25,84.0,0.11,0.87,0.51
105,65.01,17.63,81.57,0.14,0.8,0.39
104,61.69,11.66,83.66,0.12,0.87,0.47
105,67.74,17.62,82.59,0.13,0.79,0.34
104,68.64,10.46,85.87,0.08,0.83,0.34
105,68.44,14.05,84.35,0.1,0.8,0.33
104,67.38,10.05,85.78,0.08,0.81,0.37
105,66.99,15.55,83.26,0.1,0.78,0.35
104,61.86,8.92,85.2,0.09,0.77,0.43
105,69.63,13.94,84.73,0.1,0.78,0.3
104,60.67,7.34,85.86,0.08,0.94,0.54
105,68.64,27.75,78.37,0.14,0.74,0.35
104,59.13,10.79,83.5,0.1,0.68,0.42
105,67.89,38.89,71.85,0.26,0.78,0.33
104,57.32,12.94,81.61,0.11,0.7,0.47
105,71.4,50.98,67.45,0.37,0.81,0.29
104,61.1,12.47,83.04,0.12,0.91,0.51
105,68.95,47.78,67.01,0.39,0.9,0.37
104,53.07,11.06,81.64,0.14,0.8,0.6
105,62.76,33.64,71.09,0.36,1.01,0.52
104,42.69,3.9,85.77,0.05,0.51,0.52
105,61.39,37.36,67.39,0.39,0.91,0.54
104,60.53,4.24,87.6,0.04,0.69,0.41
105,61.32,45.45,60.94,0.52,0.93,0.49
105,63.28,52.21,57.01,0.6,0.95,0.48
105,56.88,60.08,41.42,0.74,0.65,0.51
105,42.7,51.43,36.35,0.9,0.85,0.27
105,51.54,64.71,30.75,0.64,0.37,0.32
105,40.05,68.29,18.5,0.73,0.25,0.3
105,14.54,72.72,4.61,0.83,0.09,0.3
105,10.28,79.41,1.94,0.89,0.05,0.18
105,76.69,85.91,16.83,0.94,0.28,0.08
104,67.34,0.68,89.72,0.02,0.83,0.37
105,68.17,70.53,41.43,0.74,0.68,0.28
104,74.23,16.48,85.22,0.11,1.04,0.28
105,69.08,72.97,38.72,0.67,0.58,0.36
104,74.17,17.25,84.97,0.1,0.94,0.28
105,81.67,78.87,53.35,0.59,0.89,0.09
104,69.13,21.17,81.6,0.11,0.65,0.26
105,76.85,71.32,55.36,0.65,0.94,0.22
104,82.52,27.7,86.06,0.07,0.84,0.12
105,81.03,75.91,57.84,0.6,0.95,0.13
104,79.53,16.8,86.81,0.06,0.89,0.2
105,82.26,75.56,62.18,0.49,0.93,0.11
104,73.07,25.59,81.7,0.15,0.97,0.31
105,72.66,31.09,79.34,0.23,0.81,0.32
104,71.02,18.28,83.52,0.12,0.78,0.29
105,79.75,28.18,84.47,0.1,0.98,0.22
104,68.63,13.58,84.6,0.1,0.72,0.3
105,87.62,74.23,81.63,0.16,0.95,0.06
104,71.33,11.65,86.02,0.07,0.71,0.24
105,87.49,65.99,84.37,0.1,0.97,0.06
104,76.51,10.44,87.47,0.05,0.89,0.24
105,86.36,41.57,86.77,0.07,0.9,0.07
104,78.95,16.51,86.69,0.08,1.11,0.22
105,87.14,15.83,89.19,0.04,0.96,0.06
104,79.8,22.1,85.82,0.08,0.91,0.17
105,91.67,214.63,91.16,0.01,0.87,0.01
104,78.87,24.22,84.94,0.11,0.92,0.21
104,78.85,27.23,84.21,0.11,0.97,0.23
105,89.25,70.82,87.84,0.05,0.93,0.04
104,78.67,25.38,84.57,0.1,0.99,0.22
105,88.92,61.93,87.98,0.06,0.91,0.04
104,80.77,36.27,83.2,0.11,0.87,0.16
105,88.52,69.55,86.03,0.08,0.89,0.04
104,76.35,30.14,81.98,0.15,0.93,0.26
105,87.41,64.58,84.56,0.1,0.86,0.06
104,73.75,30.17,80.38,0.18,0.9,0.3
105,85.2,51.11,84.06,0.09,0.83,0.08
104,65.12,22.84,78.95,0.17,0.81,0.38
105,83.84,38.85,85.03,0.07,0.86,0.12
104,46.63,18.66,72.31,0.13,0.36,0.33
105,81.3,17.45,87.25,0.06,1.03,0.14
104,59.57,12.63,82.5,0.09,0.44,0.3
105,83.52,44.94,83.53,0.13,0.99,0.12
104,67.28,20.89,80.92,0.15,0.83,0.36
105,84.36,67.17,76.79,0.25,0.98,0.12
104,72.99,7.07,87.83,0.02,0.88,0.22
105,84.04,69.43,74.46,0.32,1.04,0.17
105,74.25,45.02,74.24,0.3,1.16,0.31
105,72.52,55.81,65.13,0.41,0.95,0.29
105,62.6,61.31,46.55,0.7,0.76,0.42
105,58.88,65.86,36.59,0.87,0.64,0.36
105,66.28,72.57,35.54,0.93,0.68,0.38
105,64.71,70.62,36.66,0.75,0.56,0.26
105,55.9,71.18,26.71,0.7,0.35,0.23
105,38.33,75.2,11.8,0.75,0.15,0.22
105,35.53,76.56,9.68,0.91,0.16,0.22
105,54.38,75.76,19.5,0.72,0.3,0.17
105,66.27,71.07,37.96,0.65,0.49,0.21
105,91.66,92.13,52.13,0.73,0.95,0.02
104,64.42,0.81,89.61,0.02,0.92,0.45
105,83.6,79.77,58.13,0.6,1.01,0.17
105,77.79,68.71,60.96,0.64,1.18,0.25
104,69.99,355.86,91.51,0.0,0.85,0.33
105,76.26,60.5,66.63,0.5,1.1,0.27
104,85.74,0.13,89.99,0.02,0.83,0.08
105,77.55,60.18,68.93,0.38,0.97,0.22
104,67.38,19.44,81.63,0.16,0.94,0.39
105,74.38,37.39,77.94,0.22,0.92,0.25
104,60.3,20.0,78.27,0.2,0.86,0.5
105,77.88,38.15,80.42,0.12,0.86,0.19
104,60.77,22.86,76.73,0.22,0.86,0.47
105,74.72,25.06,82.72,0.14,0.84,0.23
104,71.25,21.45,82.4,0.12,0.75,0.27
105,79.93,27.7,84.67,0.09,0.82,0.15
104,72.15,27.15,80.62,0.16,0.85,0.29
105,76.88,6.83,88.4,0.06,0.86,0.21
104,70.19,27.7,79.29,0.19,0.92,0.36
105,77.92,7.72,88.34,0.05,0.88,0.2
104,73.15,30.68,79.81,0.17,0.9,0.3
105,81.89,24.95,86.21,0.07,0.85,0.14
104,74.55,31.06,80.55,0.17,0.88,0.25
105,82.63,39.76,83.86,0.12,0.87,0.14
104,75.66,33.68,80.33,0.18,0.96,0.26
105,80.88,33.93,83.84,0.14,0.96,0.16
104,73.44,33.81,78.74,0.19,0.91,0.28
105,80.68,28.02,85.01,0.1,0.95,0.17
104,72.79,31.2,79.37,0.19,0.92,0.29
105,82.15,36.7,84.13,0.12,0.94,0.16
104,74.0,32.95,79.47,0.18,0.92,0.27
105,81.06,42.02,81.94,0.15,0.92,0.17
104,71.97,28.92,79.81,0.18,0.9,0.31
105,79.57,32.48,83.32,0.12,0.86,0.18
104,70.41,29.2,78.75,0.2,0.82,0.29
105,78.98,35.4,82.12,0.13,0.8,0.18
104,71.93,28.83,79.82,0.17,0.86,0.29
105,76.43,43.08,77.28,0.18,0.73,0.21
104,68.32,15.09,83.88,0.12,0.89,0.36
105,76.28,41.02,78.01,0.19,0.77,0.22
104,62.09,21.59,78.16,0.13,0.56,0.29
105,74.05,28.12,81.32,0.14,0.79,0.28
104,56.99,21.15,75.89,0.16,0.64,0.34
105,69.34,36.16,74.59,0.34,0.9,0.32
104,60.7,22.05,77.19,0.25,1.01,0.57
105,75.83,57.03,68.74,0.46,1.11,0.29
104,46.78,9.91,80.68,0.1,0.61,0.59
105,73.38,54.36,67.4,0.48,1.17,0.35
105,68.18,56.14,59.17,0.59,1.02,0.4
105,67.87,65.6,48.12,0.65,0.74,0.35
105,67.87,71.91,38.77,0.83,0.66,0.28
105,58.07,68.3,32.57,0.82,0.53,0.32
105,55.38,73.39,23.36,0.77,0.34,0.27
105,37.62,73.6,12.78,0.77,0.18,0.23
105,39.65,75.38,12.2,0.82,0.19,0.23
105,46.9,72.45,18.67,0.83,0.33,0.27
105,65.81,66.69,43.81,0.7,0.63,0.32
104,74.96,23.23,83.42,0.13,1.05,0.3
105,78.61,77.2,48.43,0.77,0.92,0.2
104,76.39,32.42,81.26,0.17,1.0,0.26
105,75.62,65.3,60.87,0.57,0.96,0.25
104,74.89,24.13,83.1,0.15,1.06,0.32
105,75.53,58.07,67.5,0.46,1.04,0.29
104,64.78,20.47,80.03,0.15,0.77,0.36
105,78.85,69.75,61.89,0.55,1.04,0.24
104,64.0,16.62,81.72,0.14,0.83,0.41
105,81.18,68.98,68.01,0.41,1.07,0.17
104,62.39,23.76,77.03,0.24,0.92,0.48
105,80.49,56.49,75.81,0.24,0.96,0.22
104,52.02,22.8,71.83,0.25,0.73,0.57
105,83.3,67.15,74.42,0.22,0.82,0.1
104,50.97,23.67,70.43,0.23,0.62,0.51
105,86.37,71.06,79.52,0.14,0.85,0.17
104,58.68,27.21,72.63,0.22,0.64,0.4
105,84.88,59.58,81.33,0.15,0.85,0.1
104,62.93,26.6,75.64,0.2,0.72,0.37
105,82.56,38.36,84.1,0.12,0.91,0.11
104,65.55,24.21,78.45,0.19,0.83,0.39
105,84.43,45.33,84.36,0.11,0.9,0.1
104,61.61,24.74,76.01,0.4,1.27,0.67
105,83.73,41.71,84.4,0.12,0.96,0.13
104,71.29,46.3,70.49,0.34,0.92,0.28
105,85.49,53.57,83.89,0.12,0.95,0.11
104,72.05,52.09,67.41,0.35,0.8,0.29
105,85.63,61.59,81.96,0.16,0.96,0.1
104,79.02,64.17,68.16,0.38,0.93,0.19
105,84.06,43.88,84.28,0.11,0.93,0.11
104,83.09,72.11,69.41,0.38,0.98,0.13
105,83.77,45.74,83.61,0.13,0.96,0.12
104,69.06,39.51,72.48,0.43,1.27,0.47
105,85.82,63.94,81.51,0.17,0.96,0.08
105,88.6,81.3,80.92,0.17,1.0,0.08
104,68.61,77.66,29.18,0.49,0.31,0.1
105,90.87,97.72,83.59,0.12,0.9,0.01
105,91.27,101.29,83.67,0.11,0.94,0.01
105,87.67,30.3,88.63,0.05,0.95,0.07
104,88.68,86.67,68.4,0.47,1.19,0.02
105,85.19,43.48,85.44,0.07,0.92,0.11
104,85.11,77.97,68.12,0.38,0.92,0.13
104,76.04,58.16,68.18,0.61,0.95,0.32
105,85.33,68.0,78.56,0.22,0.97,0.09
104,68.58,39.85,71.87,0.25,0.92,0.27
105,85.72,49.33,85.02,0.07,0.91,0.18
105,69.61,11.16,85.81,0.16,0.86,0.09
104,113.06,154.95,78.75,0.59,1.15,0.3
105,32.77,350.53,104.53,0.19,0.25,0.77
104,80.06,52.69,77.05,0.42,1.53,0.36
105,65.67,57.23,54.91,0.23,0.81,0.17
104,79.38,16.89,86.74,0.07,0.89,0.16
105,50.52,10.08,81.67,0.13,0.65,0.56
104,82.64,35.92,84.66,0.09,0.89,0.15
105,54.23,15.09,79.01,0.15,0.7,0.51
104,76.81,2.23,89.48,0.04,0.95,0.23
105,61.4,13.0,82.83,0.11,0.85,0.48
104,86.03,45.97,85.9,0.06,1.02,0.12
105,60.49,8.54,85.14,0.09,0.85,0.5
104,85.54,49.51,84.78,0.12,1.05,0.08
105,59.69,22.55,76.36,0.17,0.66,0.4
104,78.02,20.72,85.41,0.07,0.91,0.25
105,51.35,10.59,81.49,0.12,0.79,0.64
105,64.75,18.12,81.23,0.13,0.72,0.35
104,78.62,25.46,84.53,0.1,0.84,0.19
105,53.48,14.51,79.16,0.15,0.64,0.51
104,67.83,0.82,89.67,0.05,0.87,0.39
105,51.42,5.24,85.81,0.1,0.71,0.58
104,68.97,357.06,91.13,0.01,0.76,0.31
105,39.65,3.94,85.25,0.08,0.44,0.57
104,196.55,212.69,204.85,0.12,0.39,2.0
105,88.49,62.87,87.05,0.04,0.92,0.05
105,90.21,95.96,87.96,0.05,0.96,0.03
105,84.69,352.97,90.66,0.0,0.96,0.12
104,89.77,22.52,89.91,0.02,0.98,0.02
105,88.21,356.93,90.1,0.02,0.96,0.05
104,88.97,20.54,89.62,0.03,0.97,0.03
105,89.31,347.35,90.16,0.02,0.96,0.04
104,88.43,1.32,89.96,0.02,0.98,0.05
105,89.68,60.78,89.43,0.03,0.97,0.02
104,88.41,6.54,89.82,0.03,0.98,0.06
105,90.53,123.19,89.18,0.03,0.98,0.0
104,88.27,13.1,89.6,0.02,0.98,0.05
105,90.61,140.17,89.49,0.03,0.96,0.01
104,88.49,8.57,89.77,0.02,0.98,0.05
105,91.4,141.61,88.89,0.03,0.97,0.0
104,88.35,14.1,89.58,0.03,0.98,0.04
105,90.78,145.56,89.46,0.03,0.97,0.02
104,88.45,18.92,89.47,0.02,0.98,0.04
105,91.37,145.72,89.06,0.04,0.97,0.0
104,88.39,7.03,89.8,0.02,0.98,0.05
105,90.77,135.95,89.25,0.04,0.97,0.0
104,88.19,1.66,89.95,0.02,0.98,0.04
104,88.91,357.37,90.05,0.02,0.98,0.04
105,91.54,137.48,88.59,0.04,0.97,0.0
104,88.76,10.33,89.77,0.03,0.97,0.05
104,88.82,9.53,89.8,0.03,0.98,0.03
104,88.31,4.67,89.86,0.03,0.98,0.05
